n,ID,Categoría,GM,Dificultad,Pregunta,Respuesta del agente,Fuentes,¿Usó el data store?,¿Citó GM correcto?,Resultado,Notas
1,F01,Dato puntual,GM02,Baja,¿Qué problema resolvió Arcor en el Centro de Distribución Bagley Villa Mercedes?,"En el Centro de Distribución Bagley Villa Mercedes, Arcor resolvió el problema de la carga manual de exportaciones a granel, que generaba altos riesgos ergonómicos, un gran esfuerzo físico para los operarios y una baja productividad. Antes de implementar este proyecto, se debían manipular manualmente unas 1.707 cajas por carga (alrededor de 7.332 kg), lo que demoraba aproximadamente tres horas por despacho. 

Para solucionarlo, el equipo diseñó un dispositivo complementario que permitió adaptar un sistema *Push Pull* sin requerir inversiones, mecanizando el proceso y eliminando el retiro manual de las tarimas de madera. Gracias a esta mejora, se redujo un 68% la manipulación manual de bultos y disminuyeron un 59% las horas-hombre necesarias para la operación, logrando además cero reclamos de calidad.

(Fuente: [2026 GM02 ARCOR SAIC - Mejora en la Carga de Exportaciones A3](https://storage.googleapis.com/biblioteca_sameco_global/proyectos_encuentro/2026%20GM02%20ARCOR%20SAIC%20-%20Mejora%20en%20la%20Carga%20de%20Exportaciones%20A3.pptx))",2026 GM02 ARCOR SAIC - Mejora en la Carga de Exportaciones A3,sí,sí,Aprueba,"La respuesta identifica correctamente el problema de la carga manual y el riesgo ergonómico, e incluye los 3 datos de la situación inicial requeridos. Evita caer en los puntos del 'no debe'. La información adicional sobre la solución no invalida la respuesta sobre el problema."
2,F02,Dato puntual,GM02,Media,¿Cómo hicieron en Arcor para usar el push-pull si no trabajaban con slip sheets?,"Para resolver este inconveniente en el Centro de Distribución Bagley Villa Mercedes, el equipo diseñó y construyó de forma interna un dispositivo complementario denominado **""Buzón de pallets""** utilizando materiales reciclados. Asimismo, rediseñaron el procedimiento operativo para empujar inicialmente el pallet por su lado angosto y utilizar un pallet plástico para rotar la carga a una altura de 1,20 metros. Gracias a esta innovación, lograron adaptar el equipo *Push Pull* a la operación sin depender de las *slip sheets* y evitaron que los operarios tuvieran que agacharse para retirar manualmente la tarima de madera desde el nivel del piso. 

(Fuente: [2026 GM02 ARCOR SAIC - Mejora en la Carga de Exportaciones A3](https://storage.googleapis.com/biblioteca_sameco_global/proyectos_encuentro/2026%20GM02%20ARCOR%20SAIC%20-%20Mejora%20en%20la%20Carga%20de%20Exportaciones%20A3.pptx), presentado por Matias Carrasco y Federico Cardini en 2026)",2026 GM02 ARCOR SAIC - Mejora en la Carga de Exportaciones A3,sí,sí,Parcial,"Cumplió con los puntos DEBE y evitó los NO DEBE, describiendo el dispositivo propio con materiales reciclados y el nuevo procedimiento. Sin embargo, omitió detalles sobre la capacitación de los motoristas y la metodología utilizada."
3,F03,Dato puntual,GM02,Baja,¿Qué resultados obtuvo Arcor con la mejora en la carga de exportaciones y dónde se replicó?,"¡Hola! Qué gusto saludarte. 

Te cuento que con el proyecto ""Mejora en la carga de exportaciones a granel"" (2026) —presentado por Matías Carrasco, Diego Barroso, Maximiliano Moro, Virginio Baez, Ramón Barroso, Yasna Cardozo, Federico Cardini y Carina Martínez—, Arcor SAIC Logística automatizó una etapa crítica de su proceso de carga. Como resultados principales, lograron una reducción del 68% en la manipulación manual de cajas, una disminución del 59% en las horas-hombre requeridas y cero reclamos de calidad relacionados con el nuevo proceso. Debido a este éxito, la solución se replicó posteriormente en el **Centro de Distribución Salto** y en el **Centro de Distribución Bicentenario** (Chile).

(Fuente: [2026 GM02 ARCOR SAIC - Mejora en la Carga de Exportaciones A3](https://storage.googleapis.com/biblioteca_sameco_global/proyectos_encuentro/2026%20GM02%20ARCOR%20SAIC%20-%20Mejora%20en%20la%20Carga%20de%20Exportaciones%20A3.pptx))",2026 GM02 ARCOR SAIC - Mejora en la Carga de Exportaciones A3,sí,sí,Parcial,"Cumplió con los porcentajes y la replicación exacta esperada y debida, y no cayó en ningún NO DEBE. Sin embargo, omitió otros resultados importantes esperados como la ausencia de cancelaciones de embarques, novedades de seguridad y el costo/tiempo de implementación."
4,F04,Dato puntual,GM03,Media,¿Qué hizo la Secretaría de Ciencia y Tecnología de Santiago del Estero?,"Che, te cuento que la Secretaría de Ciencia y Tecnología de Santiago del Estero impulsó un proyecto para estructurar y optimizar la formulación de su Plan Operativo Anual (POA) 2026. Liderado por el Área de Innovación y Economía del Conocimiento, el trabajo se basó en la gestión por procesos y el ciclo PDCA bajo los lineamientos de la norma ISO 9001:2015.

Para lograrlo, ejecutaron una estrategia de tres fases:
* **Capacitación y sensibilización:** Talleres interactivos de formación en calidad para todo el personal.
* **Sistematización institucional:** Actualización del organigrama unificado y co-diseño del mapa de procesos de la Secretaría.
* **Operativización:** Desarrollo de la ""Ficha de Procesos"" e instrumentos de planificación temporal para definir metas e indicadores SMART.

Gracias a esto, consiguieron unificar la formulación de su POA 2026, instalar una cultura participativa de calidad y sentar las bases para la redacción de su Manual de Organización y Funciones (MOF).

Este trabajo se titula *""Aplicación de herramientas de mejora continua para la Planificación Anual Operativa de la Secretaría de Ciencia y Tecnología de Santiago del Estero""* (2026), elaborado por los autores Cardozo Madaf, Asael Mansilla, Lucas Retondo Ayunta, Sebastián Rodríguez y María Gimena Serrano.

(Fuente: [2026 GM03 Trabajo Secretaría Encuentro Nacional- SAMECO](https://storage.googleapis.com/biblioteca_sameco_global/proyectos_encuentro/2026%20GM03%20Trabajo%20Secretari%CC%81a%20Encuentro%20Nacional-%20SAMECO.pptx))",2026 GM03 Trabajo Secretaría Encuentro Nacional- SAMECO,sí,sí,Parcial,"La respuesta es encaminada, identifica correctamente el GM03 y los elementos clave (PDCA, ISO 9001:2015, POA 2026). Sin embargo, omite el dato esperado y obligatorio del 80% de ineficiencias resueltas a costo cero."
5,F05,Dato puntual,GM04,Alta,¿Qué problema tenía Bridgestone con las prensas de vulcanizado?,"En el área de Vulcanizado de Bridgestone, el problema principal era la gran cantidad de paradas de mantenimiento y reparaciones recurrentes relacionadas con el sistema de sensores de posición de las prensas hidráulicas (específicamente, el sensor de traba inferior de las prensas Mitsubishi). Esta falla constante provocaba reiteradas intervenciones técnicas, pérdida de disponibilidad de las máquinas y un gasto elevado en repuestos que superó los 10.000 USD en solo nueve meses. 

Para solucionar esto, en el marco del Encuentro SAMECO 2026, el equipo integrado por Braian Guerra, Claudio Figueroa, Leandro Cicciari, Javier Feck, Leandro Aguirre y Hernán Madeira aplicó la metodología PDCA, logrando eliminar por completo el gasto en dichos repuestos y optimizar la capacidad de las prensas.

(Fuente: [Mejora Continua](https://storage.googleapis.com/biblioteca_sameco_global/proyectos_encuentro/2026%20GM04%20Encuentro%20SAMECO-%20Proyecto%20Bridgestone.pptx))",Mejora Continua ,sí,sí,Parcial,"La respuesta es correcta en cuanto al problema principal (sensores de traba inferior en prensas Mitsubishi en Vulcanizado, su recurrencia y las consecuencias económicas/operativas). Sin embargo, omite detalles cuantitativos clave como el patrón de posición de falla, la cantidad de sensores por prensa y el número total de prensas afectadas."
6,F06,Dato puntual,GM04,Alta,¿Qué resultados logró Bridgestone con el proyecto de las prensas?,"[Error del servidor: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}]",,no,no,Desaprueba,El asistente no pudo generar una respuesta debido a un error del servidor (429 RESOURCE_EXHAUSTED). No proporcionó ningún dato esperado ni cumplió con los requisitos del DEBE.
7,F07,Dato puntual,GM04,Alta,¿Qué relación tiene el proyecto de Bridgestone con SAMECO?,"El proyecto de Bridgestone, titulado *""Reducción de paradas de mantenimiento en prensas de vulcanizado""*, tiene una relación directa con SAMECO ya que fue desarrollado por colaboradores de la empresa como parte de su formación en la **Diplomatura en Mejora Continua de SAMECO**. El equipo de trabajo —integrado por Braian Guerra, Claudio Figueroa, Leandro Cicciari, Javier Feck, Leandro Aguirre y Hernán Madeira— aplicó la metodología PDCA y diversas herramientas de calidad aprendidas para resolver un problema recurrente de mantenimiento en el área de vulcanización. Este exitoso caso de estudio, que logró generar importantes ahorros y aumentar la capacidad de producción, fue presentado formalmente en el marco del **31° Encuentro Nacional de Mejora Continua SAMECO 2026**.

(Fuente: [2026 GM04 Encuentro SAMECO - Proyecto Bridgestone](https://storage.googleapis.com/biblioteca_sameco_global/proyectos_encuentro/2026%20GM04%20Encuentro%20SAMECO-%20Proyecto%20Bridgestone.pptx))",Mejora Continua ,sí,sí,Aprueba,"La respuesta identifica correctamente la relación del proyecto con la Diplomatura en Mejora Continua de SAMECO, cumpliendo lo esperado. Cita adecuadamente el GM correcto y proporciona información adicional relevante sin desviarse o inventar datos."
8,F08,Dato puntual,GM06,Media,¿Qué objetivo tenía el proyecto de Molinos en la línea de bizcochos Sin TACC y qué resultado logró?,"El proyecto de Molinos en su línea de Bizcochos Sin TACC tenía como objetivo principal reducir el desvío de la Disponibilidad Programada de un 3% a un -12% antes de abril de 2026, buscando disminuir la pérdida en un 15%. Además, se propuso actualizar la matriz de cambios de formato y reducir los costos asociados a los tiempos improductivos. 

Los resultados alcanzados superaron ampliamente las metas iniciales:
* El desvío de la Disponibilidad Programada final se redujo al **-29%** (superando el objetivo de -12%).
* El tiempo de cambio de formato del extrusor disminuyó un **39%** (pasó de 465 a 300 minutos).
* La limpieza del horno se redujo en un **35%** (de 460 a 300 minutos).
* Se logró un ahorro en mano de obra de **USD 18.000 anuales**, superando el estimado de USD 10.800.
* Se estandarizaron nuevas prácticas operativas y se logró un modelo replicable para otras líneas.

(Fuente: [2026 GM06 31° Encuentro - SAMECO - A3 Molinos](https://storage.googleapis.com/biblioteca_sameco_global/proyectos_encuentro/2026%20GM06%2031%C2%B0%20Encuentro%20-%20SAMECO%20-%20A3%20Molinos.pptx))",2026 GM06 31° Encuentro - SAMECO - A3 Molinos,sí,sí,Desaprueba,"El asistente proporciona correctamente el objetivo y el resultado principal con los signos negativos esperados, y cita el GM correcto. Sin embargo, cae en el NO DEBE al mencionar el ahorro de USD 18.000 sin que se haya preguntado por ello. Además, omite detalles sobre la validación estadística del resultado y la causa del problema."
9,F09,Dato puntual,GM07,Baja,¿Qué es el WCM Championship?,"El **WCM Championship** es una competencia interna de Saint-Gobain Argentina diseñada para promover la aplicación rigurosa de metodologías *World Class Manufacturing* (WCM) y acelerar la transformación cultural basada en la transparencia, el empoderamiento y la colaboración. Se organiza como un torneo estructurado en etapas locales, regionales y nacionales, donde plantas industriales y áreas de soporte presentan proyectos bajo metodologías estandarizadas como Quick Kaizen, Standard Kaizen y A3. 

Este caso fue presentado en el Encuentro SAMECO de 2026 en el trabajo titulado *""WCM Championship: Competencia interna para acelerar la transformación cultural y fortalecer la excelencia operacional mediante metodologías World Class Manufacturing""*, cuyos autores son Gustavo Moralli, Guadalupe Guevara, Sofia Romero, Juliea Castro, Tomas Campos, Mariano Lencina, Yilda Guerra, Valentina Malte y Antonio Venecia. Podés descargar la presentación para conocer más detalles [desde este enlace](https://storage.googleapis.com/biblioteca_sameco_global/proyectos_encuentro/2026%20GM07%2031%C2%B0%20Encuentro%20-%20SAMECO%20-%20A3%20%20WCM%20Championship.pptx).

(Fuente: 2026 GM07 31° Encuentro - SAMECO - A3  WCM Championship)",2026 GM07 31° Encuentro - SAMECO - A3  WCM Championship,sí,sí,Parcial,"La respuesta cumplió con todos los puntos DEBE y la mayor parte de lo ESPERADO. Sin embargo, omitió detalles sobre la evaluación por un jurado multidisciplinario, la presentación final ante el Comité Directivo y los resultados reportados de la competencia."
10,F10,Dato puntual,GM08,Baja,¿Qué logró Litoral Gas con las inspecciones domiciliarias?,"A través del proyecto *Digitalización del proceso de inspecciones domiciliarias* (2026), Litoral Gas logró optimizar de manera significativa sus operaciones y mejorar la experiencia de los usuarios. Entre sus principales logros se destacan:

* El **100% de digitalización de los turnos**, del ruteo automático y del cierre de órdenes de trabajo en campo de forma automática.
* La **eliminación total (0%) de formularios en papel**.
* Una **reducción del 20% en el plazo de otorgamiento de turnos** y una **disminución del 30% en la cancelación de inspecciones**.
* Un indicador de satisfacción del usuario (CSAT) de **4 sobre 5**, logrando una mejora sustancial para clientes y gasistas matriculados.

(Fuente: [2026 GM08 A3 Litoral Gas Digitalización de Inspecciones Domiciliarias](https://storage.googleapis.com/biblioteca_sameco_global/proyectos_encuentro/2026%20GM08%20A3%20Litoral%20Gas%20Digitalizacio%CC%81n%20de%20Inspecciones%20Domiciliarias%202%202.pptx))",2026 GM08 A3 Litoral Gas Digitalización de Inspecciones Domiciliarias 2 2,sí,sí,Aprueba,"El asistente cumplió con todos los datos esperados: los tres 100%, la reducción del 20% en plazos, la reducción del 30% en cancelaciones y el CSAT de 4/5. También citó la organización Litoral Gas y el GM08 correctamente."
