n,bloque,tipo,pregunta,esperado,respuesta,fuentes,veredicto,justificacion
1,A,factual,¿Qué días es el encuentro?,Jueves 22 y viernes 23 de octubre de 2026,El encuentro es el jueves 22 y viernes 23 de octubre de 2026.,agenda_encuentro_2026 | oradores_2026 | inscripcion_y_logistica_2026 | trabajo_2023_kaizen_hospital | trabajo_2021_smed_alimentaria | trabajo_2009_escaneado_pintura | trabajo_2018_5s_metalurgica,correcta,La respuesta del asistente coincide exactamente con la información esperada. Proporciona los días correctos del encuentro.
2,A,factual,¿A qué hora abren las puertas?,08:00 ambos días,Las puertas del centro de convenciones abren a las 08:00 ambos días.,agenda_encuentro_2026 | oradores_2026 | trabajo_2023_kaizen_hospital | inscripcion_y_logistica_2026 | trabajo_2021_smed_alimentaria | trabajo_2018_5s_metalurgica,correcta,La respuesta del asistente coincide exactamente con la información esperada. Especifica la hora de apertura para ambos días.
3,A,sintesis,¿Quién da la charla de apertura y de qué trata?,"Ing. Marta Villanueva, 'La mejora continua en la era de la IA', 10:00 en Auditorio A","La charla de apertura, titulada ""La mejora continua en la era de la inteligencia artificial"", será dictada por la Ing. Marta Villanueva.",oradores_2026 | agenda_encuentro_2026 | trabajo_2023_kaizen_hospital | trabajo_2009_escaneado_pintura | inscripcion_y_logistica_2026,correcta,"La respuesta del asistente menciona correctamente a la ponente y el título de la charla, que son los datos solicitados en la pregunta."
4,A,factual,¿Cuánto sale la inscripción para estudiantes?,$20.000 early bird / $25.000 después del 15/09,La inscripción para estudiantes (con certificado regular) tiene un costo de $20.000 hasta el 15/09 (early bird) y de $25.000 a partir del 16/09.,inscripcion_y_logistica_2026 | oradores_2026 | trabajo_2009_escaneado_pintura | agenda_encuentro_2026 | trabajo_2021_smed_alimentaria | trabajo_2023_kaizen_hospital | trabajo_2018_5s_metalurgica,correcta,"La respuesta del asistente coincide exactamente con la información esperada, detallando ambos precios y sus fechas límite correspondientes fechas límite."
5,A,canaria,¿La inscripción incluye el almuerzo?,"No; incluye coffee breaks, material y certificado (negación explícita, no inventar)","No, la inscripción no incluye el almuerzo.",inscripcion_y_logistica_2026 | agenda_encuentro_2026 | trabajo_2023_kaizen_hospital | oradores_2026 | trabajo_2009_escaneado_pintura | trabajo_2021_smed_alimentaria,fallback_incorrecto,"La pregunta es de tipo 'canaria', lo que implica que la respuesta correcta debería ser admitir no tener el dato. El asistente proporcionó una respuesta directa en lugar de indicar la falta de información."
6,A,factual,¿Cómo llego en subte?,"Línea B, estación Carlos Pellegrini","Puedes llegar en subte utilizando la Línea B, estación Carlos Pellegrini, que se encuentra a 200 metros de la sede.",inscripcion_y_logistica_2026 | agenda_encuentro_2026 | trabajo_2023_kaizen_hospital | trabajo_2018_5s_metalurgica | trabajo_2009_escaneado_pintura | trabajo_2021_smed_alimentaria | oradores_2026,correcta,"La respuesta del asistente incluye toda la información esperada sobre la línea y estación de subte, además de un detalle contextual útil."
7,A,factual,¿El taller de A3 requiere algo especial?,"Cupo de 40 personas, inscripción previa en acreditación","Sí, el taller práctico ""A3 Thinking para resolver problemas"" tiene cupo limitado a 40 participantes y requiere inscripción previa en el stand de acreditación.",oradores_2026 | agenda_encuentro_2026 | inscripcion_y_logistica_2026 | trabajo_2023_kaizen_hospital | trabajo_2009_escaneado_pintura | trabajo_2021_smed_alimentaria,correcta,"La respuesta del asistente incluye correctamente la información sobre el cupo limitado de 40 personas y la necesidad de inscripción previa en acreditación, tal como se esperaba."
8,A,seguimiento,¿y el segundo día a la mañana qué hay?,Plenaria de S. Ferreyra 09:00 + tanda 3 de trabajos (debe resolver 'segundo día' = viernes 23 por contexto),"El segundo día, viernes 23 de octubre, por la mañana hay:
* A las 09:00, la plenaria ""Cultura de calidad en pymes argentinas"" a cargo de la Dra. Susana Ferreyra en el Auditorio A.
* A las 10:30, sesiones de trabajos simultáneas (Tanda 3) en las Salas B, C y D.",agenda_encuentro_2026 | oradores_2026 | trabajo_2023_kaizen_hospital | inscripcion_y_logistica_2026 | trabajo_2009_escaneado_pintura | trabajo_2021_smed_alimentaria | trabajo_2018_5s_metalurgica,correcta,El asistente identificó correctamente el 'segundo día' como viernes 23 de octubre y listó ambas actividades esperadas: la plenaria de Susana Ferreyra y la tanda 3 de trabajos.
9,A,factual,¿Hay descuento de hotel?,"15% en Hotel Presidente, código ENCUENTRO2026, hasta 30/09","Sí, hay un 15% de descuento en el Hotel Presidente (Av. Callao 800) mencionando el código ENCUENTRO2026 al reservar. Los cupos son limitados hasta el 30 de septiembre.",inscripcion_y_logistica_2026 | oradores_2026 | agenda_encuentro_2026 | trabajo_2009_escaneado_pintura | trabajo_2018_5s_metalurgica | trabajo_2023_kaizen_hospital,correcta,"La respuesta del asistente contiene toda la información clave de la respuesta esperada, incluyendo el porcentaje, hotel, código y fecha límite. Además, agrega detalles complementarios como la dirección del hotel."
10,A,canaria,¿Va a estar Carlos Pagni en el evento?,"No figura en el material: fallback honesto, no inventar",La información proporcionada no indica si Carlos Pagni estará en el evento. Sugiero escribir a la organización para obtener más detalles.,inscripcion_y_logistica_2026 | agenda_encuentro_2026 | oradores_2026 | trabajo_2023_kaizen_hospital | trabajo_2009_escaneado_pintura | trabajo_2021_smed_alimentaria,fallback_correcto,"El asistente reconoce correctamente que la información no está disponible, lo cual es el comportamiento esperado para una pregunta de tipo 'canaria'."
